Label,EmailText,EmailTextBR
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Vá até o ponto de Jurong, louco. Disponível somente no Bugis, Grande Mundo La e Buffet... Cinégo tem amor..."
ham,Ok lar... Joking wif u oni...,Ok lábio... Jogando com você...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"Entrada gratuita em 2 compilações semanais para ganhar títulos da final do Campeonato Inglês de Futebol, 21 de maio de 2005. Text FA para 87121 para receber a pergunta de entrada (taxa padrão). Termos e condições aplicáveis. 18 anos ou mais."
ham,U dun say so early hor... U c already then say...,"U deu dizer assim cedo... U já está, então diz..."
ham,"Nah I don't think he goes to usf, he lives around here though","Não acho que ele vai para usf, mas vive aqui perto."
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","Olá amiga, já foram 3 semanas desde que eu não recebi nenhuma resposta. Gostaria de algumas atividades para passar o tempo? Tchau, ok! XxX std chgs a serem enviados: €1.50 para receber."
ham,Even my brother is not like to speak with me. They treat me like aids patent.,Meus irmão não é como para conversar comigo. Eles tratam-me como se fosse um auxílio patenteado.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Como solicitado, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' foi configurada como a chamada-tônica para todos os chamadores. Pressione *9 para copiar sua chamada-tônica de amigos."
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"GANHADOR!!! Como cliente valioso da nossa rede, você foi selecionado para receber um prêmio de R$ 900! Para reclamar, ligue para o número 09061701461. Código de reclamação KL341. Valido apenas por 12 horas."
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"Há mais de 11 meses com seu celular? Você está isento de atualizar para as últimas cores de celulares com câmera sem custo! Ligue para a Companhia de Atualização dos Celulares, gratuitamente, no número 08002986030."
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Estare voltando em casa em breve e não quero mais falar sobre isso hoje à noite, certo? Eu já chorei bastante hoje."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SEIS chances de ganhar DINHEIRO! De 100 a 20.000 libras txt> CSH11 e envie para 87575. Custos de 1,50 p/ dia, 6 dias, 16+ T&C's aplicam Resposta: HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENTE! Você ganhou uma passagem de 1 semana de LIBERDADE em nosso PRÊMIO DA ME DE 100.000 DÓLARES! Envie a palavra: CLAIM para o número: 81010, conforme as condições: www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Eu tive que procurar as palavras certas para agradecer por esta pausa. Prometo não tomar sua ajuda por acaso e cumprir minha promessa. Você foi maravilhoso e uma bênção sempre.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,EU TENHO UMA DATA COM VÍTOR NA SÁBADO!
