Label|EmailText|toCheck
ham|You didn't say so early in. You've already said that.|no
ham|The crazy burger available in Bugis N Great World Buffet got plenty of love.|no
ham|Ok Larry, joking with you one...|no
spam|Free entry was granted in 2 a weekly competition to win the FA Cup final tickets 21st May 2005. Text FA to 87121 to receive the entry question (std txt rate) and Terms and Conditions apply.|no
ham|Nah, I don't think he goes to USF, he lives around here, too.|no
ham|Even my brother does not like to speak with me. They treat me like a patent.|no
spam|Hey there darling! It has been 3 weeks now, and I haven't heard back. I would like some fun activities to do with you. Sure! XxX standard changes to send, £1.50 to receive.|no
ham|Melle Melle has been set as your callertune for all Callers. Press *9 to copy your friends Callertune.|no
spam|WINNER!! As a valued network customer, you have been selected to receive a Ã¥Â£900 prize reward! To claim, simply dial 09061701461 and input the claim code KL341 within 12 hours only.|no
spam|The mobile has been with you for more than 11 months. Are you entitled to an update to the latest color mobiles with a camera for free? Contact The Mobile Update Co. FREE at 0800 298 6030 to take advantage of this offer.|no
ham|Im going to be home soon, and I don't want to talk about that tonight. Ive cried enough today.|no
spam|Six chances to win CASH! From 100 to 20,000 pounds, simply send the text CSH11 to 87575. Costs 150p/day for 6 days, plus additional T&Cs. Reply HL 4 info to proceed.|no
spam|The winner has won a 1-week FREE membership in our $100,000 Prize Jackpot! Text the word CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18.|no
ham|I have a date on Sunday with Will!!|no
ham|You have been searching for the right words to express my gratitude for this brief respite. I promise to never take your assistance for granted, and I will fulfill my promise. Your kindness and generosity have been a blessing throughout our collaboration.|no
ham|Oh Kim is watching here.|no
spam|XXXMobileMovieClub: To use your credit, click the WAP link in the next text message or click [here](http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL).|no
ham|Eh, you remember how two spell his name? Yes, I did. He wasn't naughty until I wet him.|no
ham|Fine, if thats the way you feel. Thats the way its going to be.|no
ham|Is that really how you spell his name?|no
ham|I’m going to try for two months, joking.|no
ham|So officially pay first then. When is the stock coming?|no
spam|England v Macedonia - don't miss the goals/team news. Text your national team to 87077 England to 87077 Try: Wales, Scotland 4 texts/ÃÂ¼1.20 POBOXox36504W45WQ 16+|no
ham|After I finish my lunch, I go downstairs. About three things for sale. Have you finished your lunch already?|no
ham|Alright, I have corrected the sentence to:  I am unable to meet up with you sooner.|no
ham|Your always so convincing.|no
ham|Just forced myself to eat a slice. Im not really hungry, to be honest. This sucks. Mark is getting worried because I know Im sick when I turn down pizza. Lol|no
ham|Did you catch the bus? Are you frying an egg? Did you make a tea? Are you eating your moms leftover dinner? Do you feel my love?|no
ham|I am back and packing the car now. I will let you know if there is room.|no
ham|Ah, work. I vaguely remember that? What does it feel like?|no
ham|Wait, thats still not all that clear, wasn't that the reason X doesn't want to live with us.|no
ham|Yeah, he got in at 2 and was very apologetic. It had fallen out and she was acting like a spoilt child, which got him caught up in that. Till 2! But we wont go there! Not doing too badly, cheers. You?|no
ham|K tell me anything about you.|no
ham|For fear of fainting from all the housework you just did, quick have a cuppa.|no
spam|Thanks for your subscription to Ringtone UK. Your mobile will be charged â‚¬5 per month. Please confirm your subscription by replying YES or NO.|no
ham|Oops! I need to let you know when my roommates are done.|no
ham|Yup, ok I go home and look at the timings then I msg Alex again. Xuhui is going to learn on 2nd may too, but her lesson is at 8 AM.|no
ham|I see the letter B on my car.|no
ham|Anything else you decide.|no
ham|I understand your request. I'll be with you tomorrow.|no
ham|Hello! How are you and how was Saturday? I was just texting to see if you'd decided to do anything tomorrow. Not that Im trying to invite myself or anything!|no
ham|Your love for your sweet Arabian steed shines through in your words. Its clear that you hold this creature close to your heart, cherishing it and admiring its beauty.|no
ham|WHO ARE YOU SEEING?|no
spam|07732584351 - Rodger Burns - MSG = We tried to call you regarding your reply to our SMS for a free Nokia mobile and camera. Please call now 08000930705 for delivery tomorrow.|no
ham|Great! I hope you like your handsome man. I am 6 inches tall.|no
ham|Did not you receive immunization in Nigeria?|no
ham|No calls, messages, or missed calls were recorded.|no
ham|Fair enough, everything going on?|no
ham|Tyler could try asking around a bit if he cant do it.|no
ham|Your thought about me on that first day of class was interesting.|no
ham|A half-eighth is smarter than most, despite what some may say.|no
ham|U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark that Im not a weak sucker. Hospitals are for those who are weak.|no
ham|K FYI X has a ride early tomorrow morning but is crashing at our place tonight.|no
spam|The New Jersey Devils and the Detroit Red Wings play Ice Hockey.|no
ham|Do you know what Mallika Sherawat did yesterday? Find out now at <URL>.|no
ham|Wow. I never realized that you were so embarrassed by your accommodations. I thought you liked it, since I was doing my best, and you always seemed so happy about the cave. Im sorry I didn't have more to give. Im sorry I offered. Im sorry your room was so embarrassing.|no
ham|Sorry, I will call later in the meeting.|no
ham|I understand. I will be there tomorrow.|no
spam|Congrats! One year special cinema pass for two is yours. Call 09061209465 now! Superman III, Matrix3, Star Wars III, etc. are all 4 FREE! Buy now at bx420-ip4-5we. 3:15pm. Don't miss out!|no
ham|Yes... Gauti and Segwag out of Ovid's series..|no
ham|Girls are situation-seekers.|no
ham|Your going to have to pick up a $1 burger for yourself on your way home. I cant even move. Pain is killing me.|no
ham|Its a part of checking IQ.|no
ham|Sorry, my roommates took forever, thats okay if I come by now.|no
ham|Ok Larry, I double checked with the hair dresser already, and he said we can cut your hair until you look nice.|no
ham|Today is the designated day. Which song will you dedicate for me? Send this to all your valuable friends, but first reply me.|no
